,champion_name,champion_class,patch,y_true,y_pred,error,abs_error
593,Khazix,Unknown,14.23,-1.25,-0.57226914,-0.6777308583259583,0.6777308583259583
431,Kindred,Unknown,14.17,0.240000000000002,-0.3388322,0.5788321995735188,0.5788321995735188
532,LeeSin,Unknown,14.20,0.21999999999999886,-0.12046744,0.34046743929386025,0.34046743929386025
448,Leona,Tank,14.18,-2.200000000000003,-0.42285794,-1.7771420598030119,1.7771420598030119
449,Lillia,Unknown,14.18,0.1700000000000017,1.6024348,-1.4324347543716414,1.4324347543716414
576,Lillia,Unknown,14.22,-2.25,-2.9140575,0.6640574932098389,0.6640574932098389
432,Lissandra,Unknown,14.17,1.3899999999999935,2.0699904,-0.6799903964996403,0.6799903964996403
450,Lissandra,Unknown,14.18,-3.519999999999996,-2.449124,-1.0708759021758993,1.0708759021758993
418,Lucian,Unknown,14.16,-0.5700000000000003,0.05114424,-0.6211442385613921,0.6211442385613921
451,Lulu,Support,14.18,0.980000000000004,0.8582424,0.12175760746002595,0.12175760746002595
452,Malphite,Tank,14.18,0.1700000000000017,1.5155704,-1.345570402145384,1.345570402145384
556,Malphite,Tank,14.21,-0.990000000000002,-0.98569334,-0.0043066644668599,0.0043066644668599
453,Maokai,Tank,14.18,-6.580000000000005,-2.6041389,-3.975861148834234,3.975861148834234
577,Maokai,Tank,14.22,5.780000000000001,6.869329,-1.089328975677489,1.089328975677489
454,MissFortune,Unknown,14.18,-1.4200000000000017,-0.11693585,-1.3030641508102434,1.3030641508102434
578,MonkeyKing,Unknown,14.22,1.259999999999998,0.6016205,0.6583795046806316,0.6583795046806316
533,Mordekaiser,Unknown,14.20,0.9699999999999989,0.5908106,0.37918940305709725,0.37918940305709725
579,Mordekaiser,Unknown,14.22,0.6700000000000017,0.65675783,0.013242168426515377,0.013242168426515377
455,Nasus,Unknown,14.18,0.25,0.52871436,-0.2787143588066101,0.2787143588066101
557,Nasus,Unknown,14.21,0.8500000000000014,0.7681639,0.08183608055114888,0.08183608055114888
534,Pantheon,Unknown,14.20,-2.6299999999999955,-0.35098615,-2.279013847112651,2.279013847112651
535,Poppy,Unknown,14.20,1.6899999999999977,1.0090187,0.6809813404083229,0.6809813404083229
580,Poppy,Unknown,14.22,-0.6300000000000026,-0.59154814,-0.03845185518265026,0.03845185518265026
601,Poppy,Unknown,14.24,0.20000000000000284,0.013068862,0.18693113774061487,0.18693113774061487
433,Pyke,Support,14.17,0.9699999999999989,-0.16443852,1.1344385159015644,1.1344385159015644
419,Qiyana,Unknown,14.16,-1.4500000000000028,0.63885057,-2.0888505697250395,2.0888505697250395
558,Qiyana,Unknown,14.21,-1.8500000000000014,-1.6830047,-0.16699526309967183,0.16699526309967183
594,Rammus,Unknown,14.23,-1.8599999999999994,0.6060846,-2.4660845851898188,2.4660845851898188
595,Rell,Unknown,14.23,-3.8800000000000026,-1.4839069,-2.3960931348800685,2.3960931348800685
602,Rell,Unknown,14.24,3.5799999999999983,3.758575,-0.1785749626159685,0.1785749626159685
